Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Assessment Methods (product.metafields.custom.assessment_methods),Course Duration (product.metafields.custom.course_duration),Course Start Dates (product.metafields.custom.course_start_dates),Course Structure (product.metafields.custom.course_structure),Entry Requirements (product.metafields.custom.entry_requirments),Progression Opportunities (product.metafields.custom.progression_opportunities),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Skin care effect (product.metafields.shopify.skin-care-effect),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Status
micro-shading,Micro-Shading,"<p><span>Enhance your brows with our Microshading treatment, a premium semi-permanent solution that offers a soft, powdered look for fuller, more defined eyebrows. Our skilled technicians use advanced shading techniques and high-quality pigments to create a gradient effect, giving your brows a natural yet polished appearance. Enjoy beautifully shaped and shaded brows with results that are long-lasting and effortlessly elegant. Experience superior eyebrow enhancement at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Cosmetics > Makeup > Eye Makeup > Eyebrow Enhancers,"",Clinic Services,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,350.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Microshading_6ccdacab-bb5d-4818-b6a8-da310edf6611.png?v=1744029124,1,"",false,,,2686,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
combination-brows,Combination Brows,"<p><span>Experience the best of both worlds with our Combination Brows treatment, a luxurious semi-permanent solution that combines microblading and microshading for perfectly defined and naturally full eyebrows. Our expert technicians use precise hair-like strokes along with soft shading techniques to create a flawless, multidimensional effect. Enjoy the convenience of beautifully sculpted brows that stay vibrant and long-lasting. Indulge in the ultimate eyebrow enhancement at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Cosmetics > Makeup > Eye Makeup > Eyebrow Enhancers,"",Clinic Services,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,350.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Combination_Brows_af195b4a-49fc-440b-b6f9-fc765cd951e1.png?v=1744029119,1,"",false,,,2686,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
eyebrow-waxing,Eyebrow Waxing,"<p><span>Achieve perfectly sculpted brows with our Eyebrow Waxing service, a precise and luxurious treatment designed to enhance your natural beauty. Our skilled aestheticians use high-quality wax to gently remove unwanted hair, shaping your eyebrows to complement your facial features. Experience smooth, clean lines and a polished appearance with results that are both immediate and long-lasting. Enjoy expert care and refined grooming at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Cosmetics > Cosmetic Tools > Makeup Tools > Eyebrow Stencils,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,6.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Eyebrow_Waxing_4dc3551d-5cf7-4ef9-927e-965bf664500c.png?v=1744029115,1,"",false,,,6555,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
upper-lip-waxing,Upper Lip Waxing,"<p><span>Enjoy a smooth and flawless finish with our Upper Lip Waxing service, a quick and luxurious treatment designed to remove unwanted hair with precision. Our expert aestheticians use high-quality wax to gently and effectively eliminate hair from the upper lip area, ensuring minimal discomfort and maximum results. Experience the confidence of a clean, polished look that lasts. Indulge in expert care at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Shaving & Grooming > Hair Removal,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,4.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Upper_Lip_Line_Waxing_ab1dbe1b-fcbe-494b-a402-6b65397b5960.png?v=1744029110,1,"",false,,,4507,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
lower-lip-line,Lower Lip Line Waxing,"<p><span>Achieve a flawlessly smooth appearance with our Lower Lip Line Waxing service, designed to precisely remove unwanted hair for a clean, polished look. Our skilled aestheticians use high-quality wax to gently eliminate hair along the lower lip line, ensuring minimal discomfort and long-lasting results. Enjoy a refined and confident look with expert care at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Uncategorized,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,2.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Lower_Lip_Line_Waxing_4f063ac3-532d-4aab-a954-9fb93a834742.png?v=1744029106,1,"",false,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
sideburn-waxing,Sideburn Waxing,"<p><span>Enhance your look with our Sideburn Waxing service, designed to precisely shape and remove unwanted hair along the sides of your face. Our skilled aestheticians use high-quality wax to ensure a clean, smooth finish with minimal discomfort. Enjoy well-defined sideburns and a polished appearance that lasts, all with expert care at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Uncategorized,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,9.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Sideburn_Waxing_c90392c9-7962-4746-bebe-d06aca820ee3.png?v=1744029097,1,"",false,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
forehead-waxing,Forehead Waxing,"<p><span>Achieve a flawless, smooth forehead with our Forehead Waxing service. Our expert aestheticians use high-quality wax to gently remove unwanted hair, ensuring a clean and polished look. Enjoy a well-groomed appearance with minimal discomfort and long-lasting results. Experience exceptional care and refined grooming at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Shaving & Grooming > Hair Removal > Waxing Kits & Supplies,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,4.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Forehead_Waxing_bc7c3425-6c30-4a97-9054-1399a3cb4b13.png?v=1744029092,1,"",false,,,4511,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
full-face-waxing,Full Face Waxing,"<p><span>Reveal a smooth, radiant complexion with our Full Face Waxing service. This luxurious treatment meticulously removes unwanted hair from all areas of the face, including the forehead, sides, upper lip, chin, and cheeks. Our expert aestheticians use high-quality wax for a gentle, precise application, ensuring a clean, polished look with minimal discomfort. Enjoy a flawlessly groomed appearance and long-lasting results at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Shaving & Grooming > Hair Removal,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,23.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Full_Face_Waxing_e09350ac-8f02-4e9a-b219-211a12d2582e.png?v=1744029088,1,"",false,,,4507,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
full-face-inc-neck-waxing,Full Face Incl. Neck Waxing,"<p><span>Achieve a completely smooth and polished look with our Full Face and Neck Waxing service. This comprehensive treatment removes unwanted hair from the entire face, including the forehead, sides, upper lip, chin, and cheeks, as well as the neck area. Our expert aestheticians use high-quality wax for a gentle, precise application, ensuring a clean and flawless finish with minimal discomfort. Enjoy a perfectly groomed appearance and long-lasting results at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Uncategorized,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,25.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Full_Face_Neck_Waxing_7c73c7d0-b4e8-4c7b-b85c-4936768af548.png?v=1744029083,1,"",false,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
full-arms-waxing,Full Arms Waxing,"<p><span>Achieve flawlessly smooth and polished arms with our Full Arms Waxing service. This luxurious treatment removes unwanted hair from the shoulders to the wrists, ensuring a clean and even look. Our skilled aestheticians use high-quality wax to provide gentle and precise hair removal with minimal discomfort. Enjoy beautifully groomed arms and long-lasting results at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Uncategorized,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,15.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Full_Arm_Waxing_bccc47d4-8082-4802-a456-118f3ccc6077.png?v=1744029079,1,"",false,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
half-arms-waxing,Half Arms Waxing,"<p><span>Experience smooth, impeccable arms with our Half Arms Waxing service. This refined treatment targets hair removal from the upper or lower half of your arms, ensuring a clean, polished appearance. Our expert aestheticians use high-quality wax for precise and gentle removal, minimizing discomfort while delivering long-lasting results. Enjoy beautifully groomed arms with expert care at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Uncategorized,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,10.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Half_Arm_Waxing_d1545019-a653-4fba-a4e2-d39e0c685e97.png?v=1744029074,1,"",false,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
under-arm-waxing,Under Arm Waxing,"<p><span>Achieve silky smooth underarms with our Underarm Waxing service. This precise treatment effectively removes unwanted hair, leaving the area clean and flawless. Our expert aestheticians use high-quality wax to ensure gentle, thorough hair removal with minimal discomfort. Enjoy a polished look and long-lasting smoothness with expert care at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Shaving & Grooming > Hair Removal,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,7.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Under_Arm_Waxing_2_19affe3e-c50d-47ec-9b5b-259089050f8a.png?v=1744029070,1,"",false,,,4507,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
full-legs-waxing,Full Legs Waxing,"<p><span>Experience impeccably smooth legs with our Full Legs Waxing service. This comprehensive treatment removes hair from the upper thighs to the ankles, ensuring a flawless, even finish. Our skilled aestheticians use high-quality wax for a gentle and precise application, minimizing discomfort while delivering long-lasting results. Enjoy beautifully groomed legs and exceptional care at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Uncategorized,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,25.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Full_Leg_Waxing_59123b56-d89e-4c71-a38a-0349ae4da306.png?v=1744029065,1,"",false,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
half-legs-waxing,Half Legs Waxing,"<p><span>Achieve smooth, beautifully groomed legs with our Half Legs Waxing service. This targeted treatment removes hair from either the upper or lower half of your legs, providing a clean, polished look. Our expert aestheticians use high-quality wax to ensure gentle, precise hair removal with minimal discomfort. Enjoy long-lasting results and exceptional care at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Uncategorized,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,15.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Half_Leg_Waxing_85b5d1d2-098f-4a9a-ab87-aea5deb6c142.png?v=1744029061,1,"",false,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
bikini-line-waxing,Bikini Line Waxing,"<p><span>Refine your look with our Bikini Line Waxing service, designed for precise and smooth hair removal along the bikini line. Our expert aestheticians use high-quality wax to ensure a clean, well-defined edge with minimal discomfort. Enjoy a polished, comfortable finish and long-lasting results with expert care at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Uncategorized,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,12.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Bikini_Line_Waxing_1a710397-2de2-45c5-bca9-5b4eb1070fb2.png?v=1744029056,1,"",false,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
hollywood-waxing,Hollywood / Brazilian Waxing,"<p><span>Experience complete smoothness with our Hollywood Waxing service, providing full hair removal from the bikini area for a clean, polished look. Our expert aestheticians use high-quality wax to ensure a thorough and precise treatment with minimal discomfort. Enjoy the confidence of perfectly groomed skin and long-lasting results at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Uncategorized,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,33.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Extended_Hollywood_Waxing_25285d8e-7b0e-4622-b94d-85214e0035a5.png?v=1744029053,1,"",false,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
extended-hollywood-waxing,Extended Hollywood / Brazilian Waxing,"<p><span>Achieve total smoothness with our Extended Hollywood Waxing, offering comprehensive hair removal from the entire bikini area and extended zones for a flawless finish. Our skilled aestheticians use high-quality wax to provide thorough, precise removal with minimal discomfort. Enjoy a perfectly groomed appearance and long-lasting results with expert care at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Uncategorized,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,37.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Extended_Hollywood_Waxing.png?v=1744029050,1,"",false,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
full-stomach-waxing,Full Stomach Waxing,"<p><span>Achieve a flawlessly smooth stomach with our Full Stomach Waxing service. This comprehensive treatment removes unwanted hair from the entire abdominal area, ensuring an even and polished look. Our expert aestheticians use high-quality wax for a precise and gentle application, minimizing discomfort while delivering long-lasting results. Enjoy exceptional care and beautifully groomed skin at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Shaving & Grooming > Hair Removal > Waxing Kits & Supplies,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,15.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Full_Stomach_Waxing_50b8c8ec-f7c8-4f5c-a0da-308e7e7489e3.png?v=1744029047,1,"",false,,,4511,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
full-back-waxing,Full Back Waxing,"<p><span>Achieve a smooth, clean look with our Full Back Waxing service. This thorough treatment removes unwanted hair from the entire back, ensuring a flawless and even finish. Our expert aestheticians use high-quality wax for a precise and gentle application, minimizing discomfort and providing long-lasting results. Enjoy exceptional care and a perfectly groomed back at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Shaving & Grooming > Hair Removal,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,20.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Full_Back_Waxing_c4446f20-21e2-41cc-8198-a7d871fa5fc5.png?v=1744029044,1,"",false,,,4507,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
full-body-waxing,Full Body Waxing,"<p><span>Experience the ultimate in smooth, polished skin with our Full Body Waxing service. This comprehensive treatment covers hair removal from head to toe, including arms, legs, back, and more. Our expert aestheticians use high-quality wax for a thorough and gentle application, ensuring minimal discomfort and long-lasting results. Enjoy an impeccably groomed appearance and exceptional care at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Shaving & Grooming > Hair Removal > Waxing Kits & Supplies,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,80.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Full_Body_Waxing_55f00001-3e45-4b01-afc3-6b3b6165163b.png?v=1744029039,1,"",false,,,4511,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
full-body-hollywood-waxing,Full Body Incl. Hollywood Waxing,"<p><span>Achieve complete smoothness with our Full Body &amp; Hollywood Waxing service, combining full-body hair removal with precise, thorough hair removal from the bikini area. This luxurious treatment covers all areas from head to toe, including a detailed Hollywood Waxing for a flawless, polished look. Our expert aestheticians use high-quality wax to ensure gentle, effective removal with minimal discomfort. Enjoy a perfectly groomed appearance and exceptional care at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Uncategorized,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,90.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Full_Body_Hollywood_Waxing_0faed0b5-a234-4c06-80d1-9a76b36f6b31.png?v=1744029035,1,"",false,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
buttocks-waxing,Buttocks Waxing,"<p><span>Achieve a smooth, flawless look with our Buttocks Waxing service. This precise treatment removes unwanted hair from the buttocks, ensuring an even and polished finish. Our expert aestheticians use high-quality wax to provide gentle and effective hair removal with minimal discomfort. Enjoy beautifully groomed skin and exceptional care at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Uncategorized,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,10.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Buttocks_Waxing_db74020c-68a6-4514-aa73-a950f0138744.png?v=1744029030,1,"",false,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
eyebrows-hot-waxing,Eyebrows Hot Waxing,"<div class=""flex flex-grow flex-col max-w-full"">
<div data-message-author-role=""assistant"" data-message-id=""298d46d6-3e77-4e09-8608-2ccbde6b9b1b"" dir=""auto"" class=""min-h-[20px] text-message flex w-full flex-col items-end gap-2 whitespace-pre-wrap break-words [.text-message+&amp;]:mt-5 overflow-x-auto"">
<div class=""flex w-full flex-col gap-1 empty:hidden first:pt-[3px]"">
<div class=""markdown prose w-full break-words dark:prose-invert dark"">
<p>Refine your look with our Eyebrows Hot Waxing service, designed for precise shaping and hair removal. Using high-quality hot wax, our skilled aestheticians meticulously sculpt your brows to achieve the perfect shape and definition. Enjoy a clean, polished appearance with minimal discomfort and long-lasting results at our exclusive beauty clinic.</p>
</div>
</div>
</div>
</div>
<!---->",Pink Clinic,Uncategorized,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,10.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Eyebrows_Hot_Waxing_f4ecd5a7-cac3-4e2a-bfc2-7c8d762b9c44.png?v=1744029025,1,"",false,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
upper-lip-hot-wax,Upper Lip Hot Wax,"<p><span>Achieve a smooth and flawless upper lip with our Upper Lip Hot Waxing service. Our expert aestheticians use high-quality hot wax to gently remove unwanted hair, ensuring a clean and polished look with minimal discomfort. Enjoy long-lasting results and precise, comfortable hair removal at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Shaving & Grooming > Hair Removal,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,5.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Upper_Lip_Hot_Waxing_9e707349-0bf7-402f-86dd-0ea45f869dcb.png?v=1744029021,1,"",false,,,4507,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
sides-hot-waxing,Sides Hot Waxing,"<p><span>Experience a perfectly smooth and refined look with our Sides Hot Waxing service. Our skilled aestheticians use premium hot wax to gently and effectively remove unwanted hair from the sides of your face, leaving your skin flawlessly smooth and polished. Enjoy minimal discomfort and long-lasting results with expert care at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Shaving & Grooming > Hair Removal,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,10.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Sides_Hot_Waxing_a026eed4-5081-47e3-ab81-aadd62b17b1e.png?v=1744029017,1,"",false,,,4507,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
chin-hot-waxing,Chin hot Waxing,"<p><span>Achieve a smooth, flawless chin with our Chin Hot Waxing service. Our expert aestheticians use high-quality hot wax to gently remove unwanted hair, ensuring a clean and polished appearance with minimal discomfort. Experience long-lasting smoothness and expert care at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Shaving & Grooming > Hair Removal,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,5.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Chin_Hot_Waxing_4b84fa06-1fc9-4f14-8777-fcadd395bc05.png?v=1744029013,1,"",false,,,4507,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
nose-hot-waxing,Nose Hot Waxing,"<p><span>Experience precise grooming with our Nose Hot Waxing service, designed to gently remove unwanted hair from the nostrils for a clean and refined look. Our expert aestheticians use high-quality hot wax to ensure effective hair removal with minimal discomfort. Enjoy a polished appearance and long-lasting results at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Uncategorized,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,5.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Nose_Waxing_2fd13d60-f1b0-41d5-9567-9480fe907c8c.png?v=1744029009,1,"",false,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
neck-hot-waxing,Neck Hot Waxing,"<p><span>Achieve a smooth and polished neck with our Neck Hot Waxing service. This luxurious treatment gently removes unwanted hair using high-quality hot wax, ensuring precise and effective results. Our expert aestheticians provide a comfortable experience with minimal discomfort, leaving your neck flawlessly smooth and refined. Enjoy long-lasting results at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Shaving & Grooming > Hair Removal > Waxing Kits & Supplies,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,10.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Neck_Waxing_ea84f4ab-07c6-475b-80f3-506124946593.png?v=1744029005,1,"",false,,,4511,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
extended-hollywood-hot-waxing,Extended Hollywood / Brazilian Hot Waxing,"<p><span>Experience ultimate smoothness with our Extended Hollywood Hot Waxing service, offering comprehensive hair removal from the entire bikini area and surrounding zones. Our expert aestheticians use high-quality hot wax to ensure thorough and precise hair removal with minimal discomfort. Enjoy a perfectly groomed, long-lasting finish and exceptional care at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Shaving & Grooming > Hair Removal,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,35.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Extended_Hollywood_Waxing_2_08cba34b-ce7e-477c-acd5-b53c5873592a.png?v=1744029002,1,"",false,,,4507,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
underarms-hot-waxing,Underarms Hot Waxing,"<p><span>Achieve flawlessly smooth underarms with our Underarms Hot Waxing service. Our skilled aestheticians use premium hot wax to gently and effectively remove unwanted hair, ensuring a clean and polished look with minimal discomfort. Enjoy long-lasting smoothness and expert care at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Shaving & Grooming > Hair Removal,"",Waxing,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,15.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Under_Arm_Waxing_bd8f852b-59c0-4378-a883-a45107bb6461.png?v=1744028998,1,"",false,,,4507,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
eyebrow-threading,Eyebrow Threading,"<p><span>Experience perfectly shaped brows with our Eyebrow Threading service, a precise and gentle method for defining your eyebrows. Our skilled technicians use expert threading techniques to remove unwanted hair and sculpt your brows to complement your facial features. Enjoy a clean, polished look with minimal discomfort and long-lasting results at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Cosmetics > Cosmetic Tools > Makeup Tools > Eyebrow Stencils,"",Threading,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,5.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Eyebrow_Threading_d20b2014-760b-42f4-baa0-49dce2bf4265.png?v=1744028994,1,"",false,,,6555,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
upper-lip-threading,Upper Lip Threading,"<p><span>Achieve a smooth and refined upper lip with our Upper Lip Threading service. Our expert technicians use precise threading techniques to gently remove unwanted hair, ensuring a clean and polished look. Enjoy minimal discomfort, perfectly groomed results, and a long-lasting smoothness at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Shaving & Grooming > Hair Removal,"",Threading,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,4.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Upper_Lip_Line_Threading_36f5aad4-89e4-41f8-8c22-6b13f83b4bf8.png?v=1744028991,1,"",false,,,4507,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
lower-lip-line-1,Lower Lip Line Threading,"<p><span>Refine your look with our Lower Lip Line Threading service, designed to precisely remove unwanted hair from the lower lip area. Our skilled technicians use gentle threading techniques to ensure a smooth, clean finish with minimal discomfort. Enjoy a polished appearance and long-lasting results at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Cosmetics > Makeup > Lip Makeup,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,3.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Lower_Lip_Line_Threading_6425b08d-174e-4d2f-8763-4612ae107eb7.png?v=1744028987,1,"",false,,,2645,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
chin-threading,Chin Threading,"<p><span>Achieve a flawlessly smooth chin with our Chin Threading service. Our skilled technicians use precise threading techniques to gently remove unwanted hair, ensuring a clean and polished look. Enjoy minimal discomfort and long-lasting smoothness with expert care at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Shaving & Grooming > Hair Removal,"",Threading,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,4.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Chin_Threading_c1b9295f-2098-4d49-a040-60e8b6b702ba.png?v=1744028984,1,"",false,,,4507,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
